method,num_samples,tolerance,runtime,mse,success,actual_samples,error
ABC-Rejection,10,5.0,0.0,1.288916835884383,True,10,
ABC-MCMC,10,5.0,0.015624761581420898,4.127499049179193,True,7,
ABC-Rejection,50,5.0,0.0,1.5587280864057764,True,50,
ABC-MCMC,50,5.0,0.016762733459472656,3.7333975246438023,True,45,
ABC-Rejection,100,5.0,0.0007109642028808594,0.8038462760865014,True,100,
ABC-MCMC,100,5.0,0.034191131591796875,4.617813750603994,True,97,
ABC-Rejection,250,5.0,0.0,0.904740799280948,True,250,
ABC-MCMC,250,5.0,0.03292131423950195,2.674400554326354,True,225,
ABC-Rejection,500,5.0,0.01660943031311035,0.8985555479063008,True,500,
ABC-MCMC,500,5.0,0.042494773864746094,1.1032134666034838,True,450,
ABC-Rejection,10,1.0,0.015644550323486328,0.06014578226386656,True,10,
ABC-MCMC,10,1.0,0.04181551933288574,1.9623712080904385,True,7,
ABC-Rejection,50,1.0,0.016666173934936523,0.46190859008788027,True,50,
ABC-MCMC,50,1.0,0.18101119995117188,2.497431293466366,True,45,
ABC-Rejection,100,1.0,0.035471200942993164,0.3587879099242023,True,100,
ABC-MCMC,100,1.0,0.13454747200012207,0.3333540931016837,True,97,
ABC-Rejection,250,1.0,0.04804658889770508,0.30765659505091725,True,250,
ABC-MCMC,250,1.0,0.31674647331237793,0.5543988903446867,True,225,
ABC-Rejection,500,1.0,0.09816861152648926,0.24813301081195144,True,500,
ABC-MCMC,500,1.0,0.2993648052215576,0.11677767904830334,True,450,
ABC-Rejection,10,0.2,0.056221723556518555,0.4693486665747359,True,10,
ABC-MCMC,10,0.2,0.0,inf,False,0,Could not find valid initial state within 100 attempts. Consider increasing tolerance or max_attempts_per_step.
ABC-Rejection,50,0.2,0.1576528549194336,0.3460415715582043,True,50,
ABC-MCMC,50,0.2,3.761559247970581,0.22347225390878717,True,45,
ABC-Rejection,100,0.2,0.3730030059814453,0.24405352706282474,True,100,
ABC-MCMC,100,0.2,0.0,inf,False,0,Could not find valid initial state within 100 attempts. Consider increasing tolerance or max_attempts_per_step.
ABC-Rejection,250,0.2,1.053537368774414,0.2439374957051755,True,250,
ABC-MCMC,250,0.2,0.0,inf,False,0,Could not find valid initial state within 100 attempts. Consider increasing tolerance or max_attempts_per_step.
ABC-Rejection,500,0.2,2.088240623474121,0.23585124285095266,True,500,
ABC-MCMC,500,0.2,0.0,inf,False,0,Could not find valid initial state within 100 attempts. Consider increasing tolerance or max_attempts_per_step.
